samples,F_mae,k_mae,F_mse,k_mse,norm_test_loss
3000,0.0005096837412565947,0.00018883991288021207,4.568838960494759e-07,8.0230918797497e-08,0.0017284612409356568
10000,0.0003763133427128196,0.00014413715689443052,2.673749008863524e-07,3.6619145049598956e-08,0.0009196700481697917
20000,0.00031667869188822806,9.48554152273573e-05,1.9322230571106047e-07,2.0663053490466154e-08,0.0006130545463723441
