method,F_mae,k_mae,recon_mse,evals,time_s
CNN,0.0015193109964930472,0.0005458686566013152,0.04045005364878307,1.0,0.6659446159998575
GA,0.001096161353183604,0.0003236154257011704,0.008477374047894651,60.0,40.38737233479818
Hybrid,7.836627042251468e-05,2.52806268677859e-05,1.928508384689091e-05,49.166666666666664,33.981292605400085
